country,1960,1961,1962,1963,1964,1965,1966
Ghana,1581770,1657231.804,1750438.309,1845864.476,1941472.392,2035817.505,2128727.879
Greece,3572283,3679907.937,3780263.235,3872966.963,3965979.06,4063887.772,4179688.011
Greenland,19013,20232.5364,21539.14,22947.8704,24269.5968,25891.6,27292.464
Grenada,27222,27847.72857,28377.3879,28838.82854,29236.0068,29573.00714,29843.84453
Guam,33785,35262.24312,36845.85563,38546.91495,40330.13783,42167.04228,44201.57674
Guatemala,1287739,1354495.671,1416995.725,1481865.696,1549143.29,1618881.115,1678244.302
Guinea,327880,394253.7984,418342.0515,443204.6211,469071.4096,496094.8217,528305.0018
Guinea-Bissau,80788,81908.24609,83029.53859,84046.88266,84952.96165,85763.25555,86502.69504
Guyana,164865,167282.4429,172077.1431,176936.2457,181925.3029,187068.1642,192445.836
Haiti,603626,630787.8601,659463.7541,689088.019,719654.712,751151.208,785340.4611
Honduras,454668,482194.2156,511164.4578,541420.4944,572458.7936,603903.9132,636751.419
"Hong Kong, China",2619983,2706964.036,2832186.218,2939688.839,3020180.17,3109377.138,3146520.737
Hungary,5581057,5649837.458,5710577.379,5768045.984,5829004.72,5888034.846,5948404.813
Iceland,141326,144626.7874,148214.953,151775.0406,155412.0599,159058.9792,162628.1892
India,77837971,82690546.63,85192315.08,87781893.26,90465456.75,93248811.57,96250505.01
Indonesia,13586478,13970478.16,14552239.42,15157512.61,15787658.31,16443721.83,17142875.52
Iran,7263698,7765082.71,8123171.196,8496286.394,8885191.153,9290579.696,9755855.46
Iraq,3216208,3364850.25,3575653.234,3800030.818,4039881,4296779.54,4532955.765
Ireland,1297971,1310504.654,1332285.536,1356554.886,1379716.38,1401504.057,1424513.501
Isle of Man,26667,26770.14506,27011.21943,27410.26027,27934.49789,28556.20685,29105.64156
Israel,1623567,1697010.84,1799656.464,1886623.128,1983009.6,2074492.2,2145027.39
Italy,29818622,30249745.16,30707681.49,31186944.5,31701070.26,32227840.61,32734462.47
Jamaica,550603,570158.5313,591844.3194,614646.4033,637577.5189,659982.4,682294.8735
Japan,40555376,60944671.24,62395831.87,63923414.61,65491767.87,67107936.78,68523996.78
Jordan,429596,459593.0149,492596.4461,528766.3145,568540.2366,612075.36,655403.7326
Kazakhstan,4418232,4660793.565,4905302.992,5147109.225,5380915.027,5602827.7,5817970.472
Kenya,599714,636354.8394,678166.3598,722274.2823,768797.7413,817873.8418,878418.9312
Kiribati,6634,7037.941805,7458.730586,7891.73243,8336.333091,8792,9361.245277
North Korea,4400485,4619694.184,4838386.643,5061476.899,5298492.827,5556719.494,5944768.436
South Korea,6925856,7367307.54,7816471.533,8276244.198,8747134.67,9229740.3,9940341.271
Kuwait,208207,224611.139,258286.752,297313.1905,339684.7934,383843.8297,431507.9532
Kyrgyz Republic,742995,778623.885,813166.566,849212.071,886255.701,922553.783,960528.222
Lao,167800,174838.2045,180598.5572,186538.9641,192671.4413,199007.9238,210036.313
Latvia,1126241,1155128.625,1187939.025,1221444.311,1255622.723,1287767.086,1315320.216
Lebanon,798829,866878.9645,928434.0293,991948.6089,1056814.763,1122557.484,1188108.816
Lesotho,28950,34662.22588,40454.23085,46470.31654,52720.09412,59212.97088,64706.27272
Liberia,196890,220854.4269,234403.8386,248566.6572,263385.5769,278904.5794,296298.9564
Libya,368278,400154.3096,433330.028,468429.6066,505964.4507,546397.8334,622635.7029
Liechtenstein,3378,3432.538728,3481.185172,3531.63859,3585.76687,3644.38707,3706.277064
Lithuania,1097529,1142351.859,1187030.376,1230720.233,1275403.104,1320809.525,1367790.416
Luxembourg,219170,221906.8316,226182.636,230101.9252,234267.834,238540.77,241877.5447
"Macao, China",164495,167189.7019,173135.1308,180813.8202,189617.0549,198995.9836,208948.9441
"Macedonia, FYR",473280,495952.7862,520053.0269,545513.0846,571626.8208,597817.7594,625077.917
Madagascar,540898,574407.3663,607035.6447,641068.2383,676556.2389,713559.9736,751940.6111
Malawi,155272,162111.6528,169821.5794,177888.8018,186305.6478,195077.3926,209314.7191
Malaysia,2165348,2297703.199,2432159.457,2572435.785,2716440.48,2862524.236,3014359.808
Maldives,11032,10390.6698,10735.63005,11089.55408,11443.1837,11791.31322,12159.77125
Mali,561636,604452.2226,628708.1296,653587.3109,679212.3241,705699.767,735139.3668
Malta,296429,292946.8205,291533.9686,290122.7583,288758.1325,286362.1,283048.9696
Marshall Islands,5340,5568.4699,5970.936708,6416.440226,6888.2824,7373.01966,7997.009632
Mauritania,59292,66087.46458,73784.02772,81869.73424,90357.74312,99262.6957,111155.1912
Mauritius,219177,231058.3885,243061.6538,254981.3635,266824.6374,278602.47,292191.9175
Mexico,18765464,20472485.54,21476491.48,22509818.8,23571901.23,24663156.58,25772743.75
"Micronesia, Fed. Sts.",9931,10365.84378,10804.7277,11263.76031,11758.03452,12294.78732,12894.59249
Moldova,702819,631775.02,668152.512,704989.332,741701.024,778739.5,817839.672
Monaco,22134,22343,22477,22562,22643,22749,22886
Mongolia,342318,363679.6405,387541.143,412915.0338,439531.6422,467175.6557,487768.4204
Montenegro,87735,92904.60676,98330.94874,103831.3251,109214.4875,114329.7364,119582.7813
Morocco,3418044,3567340.683,3726585.465,3891733.615,4064196.493,4244974.26,4437836.051
Mozambique,282906,300724.2592,321849.9901,343832.9877,366698.1654,390474.5011,419214.3158
Myanmar,4046365,4190430.625,4356590.806,4528401.905,4706794.563,4892572.887,5091249.813
Namibia,107834,113173.8998,118683.0324,124444.553,130463.6072,136749.6939,143469.7419
Nepal,339201,350233.1987,361936.4982,374121.9922,386839.544,400132.2868,413201.7416
Netherlands,6869005,6977663.896,7101405.27,7221771.596,7343310.719,7469418.532,7590216.547
New Caledonia,29546,32084.74483,34423.33517,36633.66774,38818.09344,41074.32,43359.84435
New Zealand,1802719,1852923.99,1914992.064,1968064.348,2024688.79,2073571.044,2122898.506
Nicaragua,702732,735270.8825,769710.2715,805227.2953,842101.0039,880566.2375,925789.3139
Niger,188013,200549.205,213498.0369,227127.1769,241429.1747,256401.8829,279586.3146
Nigeria,7313977,7951911.658,8503728.885,9077980.939,9674744.448,10294432.56,10796894.47
Northern Mariana Islands,5119,5451.9718,5716.91135,5969.51787,6240.93151,6555.74163,7010.541844
Norway,1786918,1857227.661,1927869.645,1998585.32,2070248.466,2143353.354,2219291.104
Oman,92705,100351.504,109727.3381,119583.9594,129945.9426,140852.9291,154169.3851
Pakistan,10133071,10528626.81,10925022.92,11339617.35,11772524.11,12224088.1,12684650.99
Palau,,5654.817536,5826.5263,5989.297188,6142.393422,6283.31832,6409.80791
Panama,464159,486586.0426,508567.5315,531440.1484,555274.799,580120.9048,606079.0676
Papua New Guinea,76978,81522.73626,90103.67526,99048.825,108402.4546,118211.4589,139906.4301
Paraguay,678907,698621.2531,720056.6077,742208.5848,765095.2055,788718.3539,813813.1559
Peru,4647955,4885741.542,5135213.465,5395962.219,5667011.966,5947670.364,6249056.341
Philippines,8198312,8218076.929,8568106.578,8928739.838,9297523.087,9672771.438,10058171.98
Poland,14159719,14484238.03,14786183.58,15120254.69,15469829.64,15762095.64,16007078.7
Portugal,3130085,3155370.254,3212597.478,3260102.641,3296444.496,3317422.033,3327115.291
Puerto Rico,1049310,1102412.905,1159845.027,1220447.256,1280220.274,1336428.8,1388128.962
Qatar,38340,43754.30804,48079.60965,52981.68797,58250.92303,63745.23155,69262.18372
Romania,6293826,6477006.897,6649636.215,6823957.911,6999963.105,7174333.205,7344414.006
Russia,64504586,66218562.01,68047369.13,69908771.45,71803268.98,73731368.85,75247965.57
